,age,education,race,married,nodegree,trainning,earning75,earning78
110,1.80E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,4.48E+03
111,1.90E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,7.99E+02,1.77E+04
112,1.80E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,3.29E+03,5.01E+03
113,2.60E+01,1.10E+01,black,1.00E+00,1.00E+00,1.00E+00,1.39E+03,1.46E+03
114,4.20E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,2.46E+03
115,2.50E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
116,3.10E+01,9.00E+00,hispanic,0.00E+00,1.00E+00,1.00E+00,0.00E+00,2.68E+04
117,2.40E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
118,2.60E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,9.27E+03
119,2.00E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,3.78E+02,1.65E+03
120,1.90E+01,1.00E+01,white,0.00E+00,1.00E+00,1.00E+00,5.32E+03,1.38E+04
121,2.50E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,4.85E+02
122,2.30E+01,8.00E+00,white,1.00E+00,1.00E+00,1.00E+00,1.71E+03,4.23E+03
123,3.10E+01,1.20E+01,white,0.00E+00,0.00E+00,1.00E+00,2.61E+03,2.48E+03
124,1.80E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,4.81E+03
125,1.90E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,7.46E+03
126,4.30E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
127,2.70E+01,1.30E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,3.41E+04
128,2.60E+01,1.10E+01,white,0.00E+00,1.00E+00,1.00E+00,2.23E+03,1.34E+04
129,2.90E+01,1.00E+01,hispanic,0.00E+00,1.00E+00,1.00E+00,8.85E+03,5.11E+03
130,1.70E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,1.95E+03
131,3.00E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
132,1.70E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,1.57E+02,1.06E+04
133,2.00E+01,1.20E+01,white,1.00E+00,0.00E+00,1.00E+00,8.64E+03,1.17E+04
134,1.70E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,3.75E+02,3.62E+03
135,1.80E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,5.63E+02,0.00E+00
136,2.10E+01,1.10E+01,hispanic,0.00E+00,1.00E+00,1.00E+00,1.40E+03,0.00E+00
137,3.00E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,1.91E+03,0.00E+00
138,1.80E+01,1.10E+01,hispanic,0.00E+00,1.00E+00,1.00E+00,5.49E+03,2.45E+03
139,2.00E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,9.23E+03,0.00E+00
140,2.00E+01,6.00E+00,hispanic,1.00E+00,1.00E+00,1.00E+00,1.08E+04,4.49E+03
141,2.00E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,1.11E+04,0.00E+00
142,2.50E+01,8.00E+00,black,0.00E+00,1.00E+00,1.00E+00,3.74E+04,2.35E+03
143,1.70E+01,9.00E+00,white,0.00E+00,1.00E+00,1.00E+00,1.62E+03,6.01E+03
144,1.80E+01,1.00E+01,hispanic,0.00E+00,1.00E+00,1.00E+00,2.59E+03,0.00E+00
145,1.90E+01,9.00E+00,hispanic,0.00E+00,1.00E+00,1.00E+00,6.51E+03,7.91E+03
146,1.90E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,1.93E+02,6.61E+02
147,2.70E+01,1.00E+01,hispanic,0.00E+00,1.00E+00,1.00E+00,4.21E+02,3.08E+03
148,1.80E+01,1.20E+01,hispanic,0.00E+00,0.00E+00,1.00E+00,5.36E+02,1.12E+03
149,2.20E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,6.07E+02,3.18E+02
150,2.00E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,6.61E+02,1.22E+04
151,2.00E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,6.96E+02,0.00E+00
152,1.80E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,7.00E+02,4.81E+02
153,1.70E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,8.57E+02,3.25E+03
154,2.60E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,1.09E+03,1.15E+04
155,2.20E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,1.07E+03,7.32E+03
156,2.00E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,1.16E+03,7.02E+02
157,1.80E+01,8.00E+00,black,0.00E+00,1.00E+00,1.00E+00,1.20E+03,0.00E+00
158,1.80E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,1.29E+03,1.54E+04
159,1.80E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,1.37E+03,1.21E+04
160,1.90E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,1.37E+03,1.33E+04
161,1.80E+01,9.00E+00,hispanic,0.00E+00,1.00E+00,1.00E+00,1.71E+03,8.84E+03
162,1.70E+01,1.00E+01,hispanic,0.00E+00,1.00E+00,1.00E+00,2.20E+03,4.39E+03
163,1.90E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,1.93E+03,1.20E+04
164,2.70E+01,1.10E+01,black,1.00E+00,1.00E+00,1.00E+00,2.14E+03,2.19E+03
165,1.90E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,3.21E+03,2.98E+03
166,1.90E+01,9.00E+00,hispanic,0.00E+00,1.00E+00,1.00E+00,3.28E+03,1.43E+04
167,2.70E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,3.21E+03,2.09E+03
168,2.10E+01,1.10E+01,black,1.00E+00,1.00E+00,1.00E+00,4.17E+03,1.13E+04
169,2.90E+01,1.00E+01,black,1.00E+00,1.00E+00,1.00E+00,4.92E+03,1.31E+02
170,3.40E+01,1.10E+01,hispanic,0.00E+00,1.00E+00,1.00E+00,4.64E+03,2.88E+03
171,2.50E+01,1.00E+01,white,0.00E+00,1.00E+00,1.00E+00,4.71E+03,6.10E+03
172,3.10E+01,1.30E+01,white,0.00E+00,0.00E+00,1.00E+00,5.50E+03,2.33E+03
173,4.10E+01,9.00E+00,black,1.00E+00,1.00E+00,1.00E+00,5.78E+03,0.00E+00
174,2.10E+01,1.10E+01,hispanic,0.00E+00,1.00E+00,1.00E+00,6.66E+03,9.38E+03
175,2.00E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,6.43E+03,1.65E+04
176,2.40E+01,1.20E+01,hispanic,1.00E+00,0.00E+00,1.00E+00,7.21E+03,6.49E+03
177,4.10E+01,9.00E+00,black,1.00E+00,1.00E+00,1.00E+00,7.21E+03,3.15E+03
178,2.10E+01,1.20E+01,white,0.00E+00,0.00E+00,1.00E+00,7.39E+03,3.56E+03
179,2.20E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,7.50E+03,6.69E+02
180,2.00E+01,9.00E+00,hispanic,0.00E+00,1.00E+00,1.00E+00,8.02E+03,5.49E+03
181,1.70E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,8.50E+03,9.02E+03
182,2.40E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,9.18E+03,0.00E+00
183,2.30E+01,1.20E+01,black,1.00E+00,0.00E+00,1.00E+00,1.51E+04,1.03E+04
184,2.30E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,1.57E+04,5.67E+03
185,2.60E+01,1.10E+01,white,0.00E+00,1.00E+00,1.00E+00,2.30E+04,2.75E+03
186,2.10E+01,1.30E+01,black,0.00E+00,0.00E+00,1.00E+00,2.48E+04,8.80E+03
187,1.80E+01,1.00E+01,black,1.00E+00,1.00E+00,1.00E+00,1.96E+03,1.10E+04
188,2.20E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,6.54E+02,1.11E+04
189,1.70E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,1.00E+03,1.43E+03
190,2.00E+01,7.00E+00,black,0.00E+00,1.00E+00,1.00E+00,1.57E+03,5.52E+03
191,1.70E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,1.67E+03,5.59E+03
192,2.30E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,1.96E+03,3.69E+03
193,3.20E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,2.32E+03,1.79E+02
194,1.90E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,2.53E+03,4.55E+03
195,3.00E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,2.62E+03,0.00E+00
196,2.50E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,2.75E+03,2.09E+03
197,2.60E+01,1.10E+01,white,0.00E+00,1.00E+00,1.00E+00,4.68E+03,1.97E+03
198,1.90E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,3.47E+03,5.86E+03
199,1.90E+01,8.00E+00,white,0.00E+00,1.00E+00,1.00E+00,3.42E+03,9.25E+03
200,2.00E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,5.10E+03,1.36E+04
201,2.10E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,5.31E+03,7.91E+03
202,2.30E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,7.84E+03,7.95E+03
203,1.90E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,6.41E+03,1.16E+04
204,2.20E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,8.77E+03,1.83E+04
205,2.30E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,7.78E+03,1.44E+04
206,2.60E+01,1.00E+01,black,1.00E+00,1.00E+00,1.00E+00,8.14E+03,4.64E+03
207,2.40E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,1.30E+04,0.00E+00
208,1.80E+01,1.00E+01,hispanic,0.00E+00,1.00E+00,1.00E+00,1.26E+04,0.00E+00
209,2.70E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,1.42E+04,7.66E+03
210,2.10E+01,1.10E+01,hispanic,0.00E+00,1.00E+00,1.00E+00,1.80E+04,1.52E+04
211,2.50E+01,8.00E+00,white,0.00E+00,1.00E+00,1.00E+00,2.31E+04,6.42E+03
212,2.10E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,8.08E+02,4.35E+03
213,1.90E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,5.32E+02,0.00E+00
214,1.80E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,8.52E+02,0.00E+00
215,3.40E+01,7.00E+00,black,0.00E+00,1.00E+00,1.00E+00,8.58E+02,0.00E+00
216,2.10E+01,1.10E+01,white,0.00E+00,1.00E+00,1.00E+00,9.46E+02,1.14E+04
217,2.50E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,1.54E+03,1.71E+03
218,1.70E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,1.34E+03,1.37E+03
219,2.80E+01,8.00E+00,black,0.00E+00,1.00E+00,1.00E+00,1.18E+03,7.78E+03
220,1.80E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,1.18E+03,5.10E+03
221,2.70E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,4.31E+03,0.00E+00
222,2.30E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,1.77E+03,1.15E+04
223,1.90E+01,8.00E+00,hispanic,0.00E+00,1.00E+00,1.00E+00,1.86E+03,8.77E+03
224,2.10E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,2.16E+03,0.00E+00
225,2.10E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,2.22E+03,4.08E+03
226,2.30E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,2.22E+03,0.00E+00
227,2.70E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,2.29E+03,2.02E+03
228,2.70E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,2.48E+03,0.00E+00
229,2.30E+01,1.20E+01,white,0.00E+00,0.00E+00,1.00E+00,3.90E+03,7.97E+02
230,2.70E+01,8.00E+00,black,0.00E+00,1.00E+00,1.00E+00,7.22E+03,7.98E+03
231,2.80E+01,1.10E+01,black,1.00E+00,1.00E+00,1.00E+00,6.95E+03,7.32E+03
232,2.50E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,5.20E+03,0.00E+00
233,2.00E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,6.09E+03,9.75E+03
234,2.60E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,6.61E+03,5.81E+03
235,2.30E+01,1.00E+01,black,1.00E+00,1.00E+00,1.00E+00,1.05E+04,3.39E+03
236,4.90E+01,8.00E+00,white,1.00E+00,1.00E+00,1.00E+00,7.29E+03,1.67E+04
237,1.90E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,1.02E+04,1.13E+04
238,2.10E+01,1.30E+01,white,0.00E+00,0.00E+00,1.00E+00,8.62E+03,9.96E+01
239,2.70E+01,1.20E+01,black,1.00E+00,0.00E+00,1.00E+00,7.81E+03,2.78E+03
240,2.30E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,8.96E+03,1.66E+03
241,2.20E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,1.22E+04,8.41E+03
242,2.40E+01,1.50E+01,black,0.00E+00,0.00E+00,1.00E+00,1.30E+04,1.47E+04
243,2.40E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,1.82E+04,0.00E+00
244,1.80E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,2.15E+02,9.30E+02
245,1.70E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,5.79E+03,5.52E+03
246,1.70E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,1.25E+03,5.45E+03
247,2.80E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,6.87E+03,0.00E+00
248,2.70E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,2.67E+03,0.00E+00
249,1.90E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,2.62E+03,4.15E+03
250,1.80E+01,1.10E+01,white,0.00E+00,1.00E+00,1.00E+00,9.20E+02,4.32E+03
251,2.40E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,2.42E+03,1.66E+03
252,2.30E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,3.04E+03,8.48E+03
253,2.10E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,5.75E+03,7.44E+02
254,2.10E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,3.33E+03,9.37E+03
255,2.40E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,2.29E+03,4.85E+03
256,2.00E+01,9.00E+00,hispanic,0.00E+00,1.00E+00,1.00E+00,5.88E+03,1.36E+03
257,2.50E+01,1.30E+01,black,0.00E+00,0.00E+00,1.00E+00,3.09E+03,0.00E+00
258,3.50E+01,8.00E+00,black,1.00E+00,1.00E+00,1.00E+00,1.80E+04,3.79E+03
259,1.70E+01,9.00E+00,hispanic,0.00E+00,1.00E+00,1.00E+00,7.43E+01,6.21E+03
260,2.40E+01,1.10E+01,black,1.00E+00,1.00E+00,1.00E+00,1.67E+03,4.03E+03
261,2.00E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,1.65E+02,0.00E+00
